Poids,Diametre,Type
230,11,Orange
135,10,Orange
181,8,Orange
155,6,Pomme
193,7,Orange
227,9,Orange
188,8,Orange
185,8,Orange
188,6,Orange
238,11,Orange
199,9,Orange
230,10,Orange
162,8,Pomme
182,6,Orange
151,10,Orange
150,11,Orange
199,9,Orange
199,11,Orange
248,8,Orange
241,10,Orange
133,10,Orange
223,10,Orange
204,8,Orange
191,8,Orange
191,11,Orange
223,7,Orange
224,11,Orange
153,9,Orange
184,6,Orange
138,10,Orange
248,7,Orange
132,6,Pomme
244,7,Orange
160,12,Orange
169,11,Orange
230,8,Orange
165,10,Orange
153,11,Orange
224,6,Orange
135,12,Orange
195,12,Orange
213,12,Orange
221,6,Orange
204,6,Orange
133,6,Pomme
208,6,Orange
135,12,Orange
247,12,Orange
242,7,Orange
223,11,Orange
249,10,Orange
231,8,Orange
180,12,Orange
191,8,Orange
186,11,Orange
195,11,Orange
208,8,Orange
204,12,Orange
137,8,Pomme
155,7,Pomme
180,9,Orange
174,12,Orange
173,12,Orange
134,10,Orange
199,6,Orange
155,9,Orange
247,11,Orange
197,12,Orange
148,8,Pomme
213,9,Orange
226,10,Orange
149,11,Orange
242,6,Orange
141,6,Pomme
176,10,Orange
130,10,Orange
219,8,Orange
143,12,Orange
193,6,Orange
167,11,Orange
166,9,Orange
140,11,Orange
229,7,Orange
206,7,Orange
236,10,Orange
132,8,Pomme
162,7,Pomme
135,6,Pomme
179,11,Orange
249,11,Orange
139,10,Orange
134,12,Orange
152,12,Orange
139,9,Orange
173,10,Orange
131,9,Orange
142,12,Orange
169,10,Orange
131,10,Orange
213,10,Orange
194,12,Orange
192,9,Orange
230,9,Orange
202,10,Orange
146,7,Pomme
138,8,Pomme
204,12,Orange
144,8,Pomme
153,8,Pomme
167,9,Orange
248,9,Orange
164,7,Pomme
223,8,Orange
224,8,Orange
178,10,Orange
198,9,Orange
191,8,Orange
189,11,Orange
237,7,Orange
179,11,Orange
